avg_train_loss,avg_val_loss,epoch,step,val_loss
,0.9382228851318359,0,14,0.9382228851318359
0.6863930225372314,,0,14,
,0.9382617473602295,1,29,0.9382617473602295
0.7548571825027466,,1,29,
,0.5282536745071411,2,44,0.5282536745071411
0.6559860110282898,,2,44,
,1.1508774757385254,3,59,1.1508774757385254
0.7133447527885437,,3,59,
,0.652982771396637,4,74,0.6529827117919922
0.696094810962677,,4,74,
,0.811188280582428,5,89,0.811188280582428
0.7561410069465637,,5,89,
,0.8947579860687256,6,104,0.8947579860687256
0.7676928639411926,,6,104,
,0.8946444392204285,7,119,0.8946444392204285
0.7434977889060974,,7,119,
,0.8592237234115601,8,134,0.8592237234115601
0.7374092936515808,,8,134,
,0.8874928951263428,9,149,0.8874928951263428
0.6930668950080872,,9,149,
,0.607342004776001,10,164,0.607342004776001
0.7866329550743103,,10,164,
,0.9382617473602295,11,179,0.9382617473602295
0.7585093379020691,,11,179,
,0.8060904741287231,12,194,0.8060904741287231
0.7687317728996277,,12,194,
,0.8244888782501221,13,209,0.8244888782501221
0.7412457466125488,,13,209,
,0.7191035747528076,14,224,0.7191035747528076
0.7255120873451233,,14,224,
,0.6212235689163208,15,239,0.6212235689163208
0.7091749906539917,,15,239,
,0.8653109669685364,16,254,0.8653109073638916
0.7605569958686829,,16,254,
,0.7839794158935547,17,269,0.7839794158935547
0.6653358340263367,,17,269,
,0.8514555096626282,18,284,0.8514555096626282
0.5910964012145996,,18,284,
,0.6882826089859009,19,299,0.6882826089859009
0.7204498648643494,,19,299,
,0.8998111486434937,20,314,0.8998111486434937
0.7414237260818481,,20,314,
,0.7449198961257935,21,329,0.7449198961257935
0.7485321164131165,,21,329,
,0.7083873748779297,22,344,0.7083873748779297
0.7038933038711548,,22,344,
,0.9304766654968262,23,359,0.9304766058921814
0.6813836693763733,,23,359,
,0.8284810781478882,24,374,0.8284810781478882
0.666495144367218,,24,374,
,1.022505521774292,25,389,1.022505521774292
0.6224757432937622,,25,389,
,0.9252601861953735,26,404,0.9252601861953735
0.6857977509498596,,26,404,
,0.9262004494667053,27,419,0.9262004494667053
0.7226954102516174,,27,419,
,0.9382543563842773,28,434,0.9382543563842773
0.678627610206604,,28,434,
,0.7199548482894897,29,449,0.7199548482894897
0.6711621880531311,,29,449,
