avg_train_loss,avg_val_loss,epoch,step,val_loss
,4.980049133300781,0,14,4.980049133300781
0.8296449184417725,,0,14,
,1.605018138885498,1,29,1.605018138885498
0.7694839835166931,,1,29,
,0.8376544713973999,2,44,0.8376544713973999
0.7238602638244629,,2,44,
,0.8957087993621826,3,59,0.8957087993621826
0.6826926469802856,,3,59,
,0.7385706901550293,4,74,0.7385706901550293
0.6951873898506165,,4,74,
,0.8311041593551636,5,89,0.8311041593551636
0.6603635549545288,,5,89,
,1.398543119430542,6,104,1.3985432386398315
0.6824600696563721,,6,104,
